,mode,map,type,pl1_tm1_brawler,pl1_tm1_brwlr_trop,pl1_tm1_brwlr_pwr,pl2_tm1_brawler,pl2_tm1_brwlr_trop,pl2_tm1_brwlr_pwr,pl3_tm1_brawler,pl3_tm1_brwlr_trop,pl3_tm1_brwlr_pwr,pl1_tm2_brawler,pl1_tm2_brwlr_trop,pl1_tm2_brwlr_pwr,pl2_tm2_brawler,pl2_tm2_brwlr_trop,pl2_tm2_brwlr_pwr,pl3_tm2_brawler,pl3_tm2_brwlr_trop,pl3_tm2_brwlr_pwr,tm1_win,unq_battle_id
441,brawlBall,Sneaky Fields,ranked,GENE,886,10,SPIKE,881,10,JACKY,886,10,NITA,1065,10,MAX,1015,10,SANDY,918,10,False,20210821T213756.000Z_15000050_5651
442,brawlBall,Sneaky Fields,ranked,NITA,1070,10,MAX,1020,10,CARL,840,10,SANDY,860,10,TARA,902,10,SPIKE,805,10,True,20210821T214159.000Z_15000050_5497
443,brawlBall,Sneaky Fields,ranked,STU,917,10,JESSIE,977,10,SANDY,948,10,SHELLY,974,10,EL PRIMO,956,10,BEA,779,10,True,20210821T221604.000Z_15000050_5551
444,brawlBall,Sneaky Fields,ranked,TARA,1022,10,SHELLY,1220,10,BEA,1000,10,SHELLY,964,10,EL PRIMO,946,10,BEA,771,10,True,20210821T221906.000Z_15000050_5923
445,brawlBall,Sneaky Fields,ranked,EL PRIMO,939,10,JESSIE,807,10,BARLEY,914,10,BEA,872,10,SPIKE,956,10,BO,881,10,True,20210821T222142.000Z_15000050_5369
446,brawlBall,Sneaky Fields,ranked,BARLEY,920,10,EL PRIMO,945,10,JESSIE,814,10,SANDY,1069,10,JESSIE,1183,10,STU,904,10,False,20210821T222247.000Z_15000050_5835
447,gemGrab,Stardust Storm,ranked,STU,1001,10,SANDY,1067,10,PAM,752,10,STU,1171,10,GENE,949,10,LEON,1236,10,False,20210821T223025.000Z_15000403_6176
448,hotZone,Split,ranked,BEA,1096,10,COLT,1036,10,COLONEL RUFFS,1085,10,COLT,807,10,STU,866,10,BEA,848,10,False,20210821T223301.000Z_15000294_5738
449,hotZone,Split,ranked,COLT,1025,10,BEA,1085,10,COLONEL RUFFS,1074,10,JESSIE,833,10,EMZ,760,10,RICO,765,9,True,20210821T223635.000Z_15000294_5542
450,hotZone,Split,ranked,BEA,1090,10,COLT,1030,10,COLONEL RUFFS,1079,10,DYNAMIKE,821,10,STU,733,10,STU,798,10,True,20210821T224205.000Z_15000294_5551
451,hotZone,Split,ranked,BULL,815,10,TARA,771,10,EMZ,724,10,BEA,1095,10,COLT,1035,10,COLONEL RUFFS,1084,10,False,20210821T224819.000Z_15000294_5524
452,brawlBall,Sneaky Fields,ranked,DARRYL,855,10,SPROUT,841,10,BELLE,889,10,EL PRIMO,907,10,GENE,938,10,RICO,709,10,True,20210821T225021.000Z_15000050_5139
453,hotZone,Split,ranked,STU,1011,10,EMZ,1071,10,SURGE,1015,10,COLETTE,1066,10,COLT,1040,10,COLONEL RUFFS,1089,10,False,20210821T225245.000Z_15000294_6292
454,brawlBall,Sneaky Fields,ranked,DARRYL,862,10,SPROUT,848,10,BELLE,896,10,SANDY,888,10,STU,785,10,EDGAR,789,10,True,20210821T225252.000Z_15000050_5068
455,brawlBall,Sneaky Fields,ranked,SPIKE,811,10,DYNAMIKE,829,10,LOU,777,10,DARRYL,869,10,SPROUT,855,10,BELLE,903,10,False,20210821T225559.000Z_15000050_5044
456,hotZone,Split,ranked,COLT,774,10,STU,761,10,BEA,966,10,COLETTE,1071,10,COLT,1045,10,COLONEL RUFFS,1094,10,True,20210821T225714.000Z_15000294_5711
457,hotZone,Split,ranked,COLONEL RUFFS,1002,10,COLT,1034,10,BEA,1069,10,STU,826,10,RICO,798,10,STU,765,10,True,20210821T230234.000Z_15000294_5494
458,hotZone,Split,ranked,COLONEL RUFFS,1007,10,COLT,1039,10,BEA,1074,10,POCO,908,10,FRANK,896,10,EL PRIMO,870,10,True,20210821T230611.000Z_15000294_5794
459,hotZone,Split,ranked,BEA,1079,10,COLONEL RUFFS,1012,10,COLT,1044,10,EDGAR,930,10,SPIKE,752,10,RICO,765,10,True,20210821T231150.000Z_15000294_5582
460,hotZone,Split,ranked,EL PRIMO,1000,10,FRANK,875,10,GALE,885,10,BEA,1084,10,COLT,1049,10,COLONEL RUFFS,1017,10,False,20210821T231522.000Z_15000294_5910
461,hotZone,Split,ranked,COLONEL RUFFS,1022,10,COLT,1054,10,BEA,1089,10,BIBI,930,10,RICO,768,10,RICO,750,10,True,20210821T232051.000Z_15000294_5613
462,hotZone,Split,ranked,FRANK,799,10,POCO,783,10,RICO,815,10,COLONEL RUFFS,1027,10,COLT,1059,10,BEA,1094,10,False,20210821T232715.000Z_15000294_5577
463,brawlBall,Sneaky Fields,ranked,STU,960,10,AMBER,1013,10,BEA,874,10,TARA,1136,10,SANDY,1202,10,BELLE,1243,10,False,20210821T232818.000Z_15000050_6428
464,hotZone,Split,ranked,BEA,900,10,SURGE,1053,10,COLT,885,10,BIBI,1141,10,COLETTE,1110,10,STU,984,10,False,20210821T233133.000Z_15000294_6073
465,hotZone,Split,ranked,BEA,848,10,COLT,920,10,STU,777,10,BEA,890,10,GRIFF,847,10,COLT,876,10,False,20210821T233414.000Z_15000294_5158
466,hotZone,Split,ranked,BEA,1099,10,COLT,1064,10,COLONEL RUFFS,1032,10,SURGE,763,10,STU,791,10,RICO,867,10,True,20210821T233937.000Z_15000294_5616
467,brawlBall,Sneaky Fields,ranked,COLT,955,10,COLT,829,10,EL PRIMO,788,10,TARA,888,10,SANDY,1122,10,BYRON,1048,10,False,20210821T235710.000Z_15000050_5630
468,gemGrab,Stardust Storm,ranked,BELLE,704,10,RICO,826,10,LEON,924,10,GENE,834,10,COLT,945,10,CROW,715,10,True,20210821T235934.000Z_15000403_4948
469,siege,Bot Drop,ranked,PAM,1002,10,BYRON,1094,10,CROW,1091,10,SPIKE,946,10,MAX,938,10,PIPER,810,10,True,20210822T000701.000Z_15000097_5881
470,siege,Bot Drop,ranked,CROW,853,10,POCO,784,10,GENE,1078,10,BYRON,1099,10,PAM,1007,10,CROW,1096,10,False,20210822T001143.000Z_15000097_5917
471,siege,Bot Drop,ranked,PIPER,1005,10,CROW,1001,10,PAM,1063,10,SHELLY,851,10,MORTIS,748,10,BELLE,629,8,True,20210822T001501.000Z_15000097_5297
472,siege,Bot Drop,ranked,PIPER,1010,10,PAM,1068,10,CROW,1006,10,PENNY,799,10,TARA,708,10,SPIKE,385,9,True,20210822T001919.000Z_15000097_4976
473,brawlBall,Sneaky Fields,ranked,STU,1016,10,BEA,975,10,FRANK,1025,10,NITA,866,10,BEA,868,10,STU,852,10,True,20210822T002104.000Z_15000050_5602
474,siege,Bot Drop,ranked,PIPER,1015,10,CROW,1011,10,PAM,1073,10,CARL,843,10,BELLE,831,10,SPIKE,777,10,False,20210822T002357.000Z_15000097_5550
475,brawlBall,Sneaky Fields,ranked,STU,1021,10,BEA,981,10,FRANK,1030,10,EMZ,965,10,GENE,973,10,RICO,914,10,True,20210822T002422.000Z_15000050_5884
476,brawlBall,Sneaky Fields,ranked,RICO,954,10,SANDY,928,10,SPIKE,749,10,STU,1026,10,BEA,987,10,FRANK,1035,10,False,20210822T002601.000Z_15000050_5679
